Week,Cases,Rainfall Amount,Max Temperature,Minimum Temperature,Relative Humidity,Wind Speed,Wind Direction
10/13/2019,251,0.142857143,32.78571429,24.08571429,70.42857143,1,85.71428571
10/20/2019,259,6.328571429,32.27142857,24.18571429,77.42857143,1.142857143,112.8571429
10/27/2019,233,9.957142857,31.15714286,24.81428571,79,1.142857143,54.28571429
11/3/2019,226,5.528571429,32.05714286,24.55714286,77.85714286,1.142857143,245.7142857
11/10/2019,197,0.7,31.38571429,24.25714286,74.85714286,1,241.4285714
11/17/2019,189,3.857142857,31.28571429,24.77142857,78.85714286,1,194.2857143
11/24/2019,181,0.128571429,31.55714286,23.6,73.85714286,1.285714286,157.1428571
12/1/2019,195,9.5,30.72857143,23.78571429,75.71428571,1.571428571,168.5714286
12/8/2019,159,0.142857143,31.15714286,23.17142857,72.71428571,1.142857143,77.14285714
12/15/2019,160,0,32.87142857,22.81428571,70.42857143,1.285714286,134.2857143
12/22/2019,181,5.34,31.87,23.26,73.5,1.3,75
1/1/2020,127,0,30.875,22.15,71.75,1.5,50
1/5/2020,208,0.2,30.97142857,22.62857143,72.42857143,1.142857143,44.28571429
1/12/2020,153,0,31.22857143,23.18571429,75.28571429,1,247.1428571
1/19/2020,166,0.942857143,30.1,21.98571429,72.85714286,1,157.1428571
1/26/2020,143,0,30.88571429,21.17142857,70,1.142857143,197.1428571
2/2/2020,98,8.214285714,29.24285714,22.25714286,73.14285714,1,114.2857143
2/9/2020,63,0.057142857,30.28571429,20.9,68.42857143,1.285714286,105.7142857
2/16/2020,80,0,31.62857143,21.97142857,64.57142857,1.142857143,158.5714286
2/23/2020,71,0.485714286,31.78571429,22.68571429,66,1.285714286,118.5714286
3/1/2020,51,0,32.21428571,22.48571429,66,1,181.4285714
3/8/2020,38,0,34.11428571,25.07142857,63.42857143,1.142857143,141.4285714
3/15/2020,23,0,32.58571429,23.82857143,64.42857143,1,160
3/22/2020,6,0,34.34285714,24.05714286,56.42857143,1.571428571,142.8571429
3/29/2020,6,0,34.12857143,23.27142857,55.71428571,1.142857143,125.7142857
4/5/2020,1,0,33.94285714,25.22857143,60.71428571,1.428571429,138.5714286
4/12/2020,3,2.071428571,33.14285714,24.68571429,68.28571429,1.142857143,120
4/19/2020,4,3.771428571,35.08571429,25.54285714,60.42857143,1.285714286,148.5714286
4/26/2020,1,0,34.7,25.02857143,60.28571429,1.285714286,124.2857143
5/3/2020,2,1,35.9,27.1,64.71428571,1,220
5/10/2020,1,22.18571429,34.1,25.91428571,73,1.142857143,207.1428571
5/17/2020,2,2.285714286,34.74285714,27.02857143,69.28571429,1.142857143,195.7142857
5/24/2020,1,2.542857143,34.61428571,26.01428571,70,1.142857143,212.8571429
5/31/2020,3,2.2,34.97142857,26.01428571,66.57142857,1,170
6/7/2020,6,21.78571429,33.27142857,25.25714286,75.57142857,1.142857143,201.4285714
6/14/2020,5,1.842857143,32.9,25.1,73.57142857,0.857142857,197.1428571
6/21/2020,5,3.3,34.37142857,25.84285714,70,1.428571429,220
6/28/2020,6,8.428571429,32.88571429,25.6,71.28571429,1.285714286,222.8571429
7/5/2020,9,14.27142857,33.3,25.21428571,76.71428571,1,192.8571429
7/12/2020,8,0.785714286,32.92857143,25.41428571,75.28571429,1.285714286,147.1428571
7/19/2020,7,11.37142857,33.3,24.64285714,76.57142857,1,107.1428571
7/26/2020,9,19.64285714,31.57142857,24.94285714,82.71428571,1,197.1428571
8/2/2020,15,16.02857143,32.02857143,24.88571429,81,1.142857143,131.4285714
8/9/2020,8,16.9,31.64285714,24.52857143,82.71428571,1.142857143,110
8/16/2020,10,14.44285714,31.15714286,24.68571429,83.42857143,1.142857143,205.7142857
8/23/2020,13,0.057142857,32.52857143,26.08571429,73.42857143,1.285714286,248.5714286
8/30/2020,16,1.628571429,32.82857143,25.68571429,73.28571429,1.285714286,281.4285714
9/6/2020,27,17.11428571,32.85714286,24.9,77.85714286,0.857142857,135.7142857
9/13/2020,13,10.25714286,31.7,24.81428571,81.28571429,1,107.1428571
9/20/2020,12,6.942857143,32.62857143,24.87142857,78.71428571,0.857142857,97.14285714
9/27/2020,11,14.32857143,32.91428571,25.21428571,78.85714286,1,242.8571429
10/4/2020,13,8.557142857,30.52857143,24.65714286,85.42857143,1,125.7142857
10/11/2020,10,28.24285714,29.94285714,24.31428571,86.71428571,1,188.5714286
10/18/2020,21,11.75714286,30.5,25.3,83.71428571,1.285714286,174.2857143
10/25/2020,20,7.342857143,31.85714286,24.8,77.71428571,1.285714286,198.5714286
